Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive
AASLH – American Association for State and Local History,https://aaslh.org/,"American Association for State and Local History (AASLH), and Canadian Heritage Information Network",Ressourcensammlung,"US-amerikanische Fachorganisation, die Ressourcen, Weiterbildungen und Standards für Museen, historische Gesellschaften und Institutionen zur Vermittlung von lokaler und staatlicher Geschichte bereitstellt. Sie bietet u. a. terminologische Hilfsmittel wie das „Nomenclature for Museum Cataloging“ sowie Richtlinien zur musealen Praxis.","Museumspraxis, historische Sammlungen, Katalogisierung, USA, Nomenclature, Fachgemeinschaft",USA,"englisch, französisch",HTML,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,Teilweise,TRUE,KF: Interessant fürs Mapping,,TRUE,TRUE,FALSE
AATA Online,https://www.getty.edu/conservation/publications_resources/aata/index.html,Getty Conservation Institute,Datenbank,"AATA Online ist eine kostenlose Forschungsdatenbank mit internationalen Abstracts von Literatur zur Bewahrung und Konservierung des materiellen Kulturerbes. Es enthält über 148.000 Einträge und wird jährlich durch regelmäßige Aktualisierungen um etwa 4.000 neue Einträge erweitert. Die Abstracts sind nach Fachdisziplin, Technik und Material kategorisiert.","Literatur, Abstracts, Konservierung",USA,diverse,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust,TRUE,TRUE,,"Lynda Bunting, Managing Editor
Karen Karyadi, Assistant Editor
Cameron Trowbridge, Manager, Research Services

Contact: aata@getty.edu",TRUE,FALSE,TRUE
Abbreviations and Phrases on Printed Images 1500–1900,https://www.delineavit.nl/stijnmans-terms-in-print-addresses/,Ad Stijnman,Vokabular,"Eine Liste von Abkürzungen und Phrasen auf Schriften und Bildern von 1500 bis 1900, sowie ein Glossar der verschiedenen Fachbegriffe mit Entsprechungen in unterschiedlichen Sprachen.","Abkürzungen, Phrasen, Drucke, Bilder",NL,englisch,PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Ad Stijnman,TRUE,FALSE,"NW: Hilfreich, inkl. Abbildungen. Besonders interessant für Objektgeschichte, Historische Techniken. Geht über einfache Liste von Definitionen hinaus =weißt semantische Dimensionen auf","Ad Stijnman, tulip88x@xs4all.nl​.​",TRUE,FALSE,TRUE
"ABCD ""extension for geosciences"" (EFG)",https://github.com/tdwg/efg; https://www.tdwg.org/community/esp/efg/,Biodoversity Information Standards TDWG,Datenschema,"Die ABCD Extension EFG (Extension for Geoscience) ist eine Reihe von Begriffen, die zur Darstellung von nicht-biologischen Objekten geowissenschaftlicher Sammlungen entwickelt wurden um den Austausch dieser Daten zu erleichtern. Sie erweitert das ABCD-Schema, um geologische Daten zu integrieren, einschliesslich Informationen über paläontologische und geologische Sammlungsobjekte.","Biologische Objekte, Fossilien, Gesteine, Mineralien","DE, DNK",englisch,XSD,,CC BY 4.0,TRUE,TRUE,,https://github.com/stanblum,TRUE,TRUE,TRUE
ADeX - Archäologischer DateneXport,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-8,Verband der Landesarchäologien,Datenschema,"ADeX ist ein INSPIRE-konformes minimales Datenaustauschformat mit essentiellen Attributen zu archäologischer Fundstellen, Untersuchungsflächen oder Schutzflächen, um den länderübergreifenden Austausch von Daten zu erleichtern.","Datenaustausch, Denkmäler, Maßnahmen, Schutzflächen",DE,deutsch,CSV+GIS (shp oder mid),,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Verband der Landesarchäologien, Alle Rechte beim Herausgeber",TRUE,TRUE,unter Berücksichtigung von CIDOC-CRM und INSPIRE-konform,"Kommission der Landesarchäologen, Speziell: Modellierungsgruppe",FALSE,TRUE,TRUE
AIC Lexicon Terms,https://www.conservation-wiki.com/wiki/Lexicon,American Institute for Conservation,Vokabular,"Das AIC Wiki ist ein illustriertes Glossar von Begriffen in Form einer Webseite, die sich an die breite Öffentlichkeit richtet. Der Schwerpunkt des Lexikons liegt auf Begriffen, die bei der Untersuchung von Kunstwerken und Artefakten verwendet werden, sowie auf Begriffen, die zur Beschreibung von Konservierungsprozessen verwendet werden. Die Beiträge sind von verschiedenen Fachgruppen, Netzwerken und Ausschüssen erstellt worden und beruhen auf Community-Beteiligung.","Begriffserklärung, Maßnahmen, Methoden, Zustand, Materialien",diverse,englisch,MediaWiki,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,TRUE,"KF: Nicht vollständig, aber für uns sehr hilfreich. Austausch/Verknüpfung mit AIC könnte sinnvoll sein","AIC Bonnie Naugle (Communications & Membership Director)
bnaugle@culturalheritage.org",TRUE,TRUE,TRUE
AIC Wiki,https://www.conservation-wiki.com/wiki/Main_Page,American Institute for Conservation,Fachtext,"Das AIC-Lexikon ist ein Glossar von Begriffen innerhalb des AIC Wiki. Der Schwerpunkt des Lexikons liegt auf Begriffen, die bei der Untersuchung von Kunstwerken und Artefakten verwendet werden, sowie auf Begriffen, die zur Beschreibung von Konservierungsprozessen verwendet werden. Das Glossar enthält neben einer Begriffsdefinition auch Synonyme und Übersetzungen sowie weiterführende Literatur.","Begriffserklärung, Maßnahmen, Methoden, Zustand, Materialien",diverse,englisch,MediaWiki,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,TRUE,"KF: Nicht vollständig, aber für uns sehr hilfreich. Austausch/Verknüpfung mit AIC könnte sinnvoll sein","AIC Bonnie Naugle (Communications & Membership Director)
bnaugle@culturalheritage.org",TRUE,TRUE,TRUE
Alle Burgen - Die Burgendatenbank,https://www.alleburgen.de/index.php,Andreas Hein (privat),Datenbank,"Online-Datenbank mit über 8.000 Einträgen zu Burgen, Schlössern, Herrensitzen und anderen historischen Bauwerken im deutschsprachigen Raum. Die Plattform bietet Informationen zur Baugeschichte, Lage, heutigen Nutzung, teils mit Bildern, Karten und Literaturhinweisen.","Burgen, Schlösser, historische Bauwerke, Denkmalpflege, Baugeschichte",DE,deutsch,HTML,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,FALSE
AMH Thesauri,https://uri.gbv.de/terminology/?search=Arch%C3%A4ologisches%20Museum%20Hamburg,Archäologisches Museum Hamburg - Stadtmuseum Hamburg/Helms-Museum,Vokabular,"Kontrollierte Vokabulare aus dem Bereich Archäologie und Restaurierung, die im Archäologischen Museum Hamburg verwendet werden.","Thesaurus, Funde, Befund, Maßnahmen",DE,deutsch,"JSKOS, TURTLE, RDFXML, NTRIPLES",,CC BY-NC-ND 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
"Analysis, Protection and Preservation of Medieval Wall Paintings",https://denkmalpflege.niedersachsen.de/themen/restaurierung/raphael-projekt-der-europaeischen-kommission-medieval-wallpaintings-135396.html,Niedersächsisches Landesamt für Denkmalpflege,Vokabular,"Im Rahmen des Raphael-Projekts der Europäischen Kommission (1999-2001) wurde ein zweisprachiger, hierarchischer Thesaurus zu Begriffen zu mittelalterlichen Wandmalereien erstellt, sowie ein Mapping auf diese Begriffe. Enthalten sind Begriffe zu Materialien, Schadensphänomenen, Techniken, Umweltfaktoren, Zeichentechnik, Dokumentation und Beprobung.","Wandmalerei, Denkmalpflege, Restaurierung, Schutz, Analyse, Mittelalter, Zustand","DE, DNK, NL","deutsch, englisch",PDF,X,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Niedersächsisches Landesamt für Denkmalpflege, Hannover 2001",TRUE,FALSE,"NW: Hilfreich, inkl. Abbildungen. Besonders interessant für Objektgeschichte, Historische Techniken","Abteilungsleitung Baudenkmalpflege
Dipl.-Ing. Niels Juister
Tel: 05 11 / 9 25 - 52 78
niels.juister@nld.niedersachsen.de

Abteilungsleitung Informationsdienste
Dr. Katharina Eck
Tel: 05 11 / 9 25 - 53 92
katharina.eck@nld.niedersachsen.de

Abteilungsleitung Restaurierung
Dipl.-Rest. Maja Ossig
0511 / 9 25 - 5211
maja.ossig@nld.niedersachsen.de",TRUE,TRUE,TRUE
