Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,"Themen (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)","Fachbereich / Material (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)",Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive,Letzte Aktualisierung
AATA Online,https://www.getty.edu/conservation/publications_resources/aata/index.html,Getty Conservation Institute,Ontologie,<KI-Generiert> AATA Online ist eine kostenlose Forschungsdatenbank mit Abstracts von Literatur zur Bewahrung und Konservierung des materiellen Kulturerbes. Es enthält über 148.000 Einträge und wird jährlich durch regelmäßige Aktualisierungen um etwa 4.000 neue Einträge erweitert.,"<KI-Generiert> Bewahrung, Konservierung, Kulturerbe, Literatur, Abstracts",Literatur,Alle,<KI-Generiert> Vereinigte Staaten,englisch,HTML,-,,X,X,,"Lynda Bunting, Managing Editor Karen Karyadi, Assistant Editor Cameron Trowbridge, Manager, Research Services  Contact: aata@getty.edu ",True,,True,2024-01-01
Abbreviations and Phrases on Printed Images 1500–1900,https://www.delineavit.nl/stijnmans-terms-in-print-addresses/,Ad Stijnman,<KI-Generiert> Fachtext,"<KI-Generiert> Eine Liste von Abkürzungen und Phrasen auf gedruckten Bildern von 1500 bis 1900. Objekte, Drucke","<KI-Generiert> Objekte, Drucke, Abkürzungen, Phrasen, gedruckte Bilder",Objekte,Drucke,,englisch,PDF,-,,X,-,"NW: Hilfreich, inkl. Abbildungen. Besonders interessant für Objektgeschichte, Historische Techniken. Geht über einfache Liste von Definitionen hinaus =weißt semantische Dimensionen auf","Ad Stijnman, tulip88x@xs4all.nl​.​",True,,True,2017-12-15
"ABCD ""extension for geosciences"" (EFG)",https://github.com/tdwg/efg,Biodoversity Information Standards TDWG,<KI-Generiert> Datenschema,"<KI-Generiert> Die ABCD Extension EFG (Extension for Geoscience) ist eine Reihe von Begriffen, die zur Darstellung von Objekten geowissenschaftlicher Sammlungen entwickelt wurden. Sie erweitert das ABCD-Schema, um geologische Daten zu integrieren, einschliesslich Informationen über paläontologische und geologische Sammlungsobjekte. Schlagworte: Biologische Objekte, Fossilien, Gesteine und Mineralien, Geowissenschaftliche Sammlungen","<KI-Generiert> Biologische Objekte, Fossilien, Gesteine und Mineralien, Geowissenschaftliche Sammlungen","Biologische Objekte, Fossilien, Gesteine und Mineralien",Geowissenschaftliche Sammlungen,DE,englisch,xsd,,,x,,,https://github.com/stanblum,,True,True,2020-06-08
ADeX - Archäologischer DateneXport,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-8,VLA,Datenschema,"<KI-Generiert> minimales Datenaustauschformat mit essentiellen Attributen archäologischer Fundstellen (Lokalisierung, Datierung, Befundansprache)",<KI-Generiert> Denkmäler/Flächen,"minimales Datenaustauschformat mit essentiellen Attributen archäologischer Fundstellen (Lokalisierung, Datierung, Befundansprache)",Denkmäler/Flächen,DE,deutsch,CSV+GIS (shp oder mfd),,,<KI-Generiert> x,,unter Berücksichtigung von CIDOC-CRM und INSPIRE-konform,"Kommission der Landesarchäologen, Speziell: Modellierungsgruppe",,True,True,2025-01-01
AIC Lexicon Terms,https://www.conservation-wiki.com/wiki/Lexicon,American Institute for Conservation,Vokabular,"<KI-Generiert> Das Lexicon ist ein illustriertes Glossar von Begriffen zu Zustand und Konservierungsprozessen, das sich an die breite Öffentlichkeit richtet. Der Schwerpunkt des Lexikons liegt auf Begriffen, die bei der Untersuchung von Kunstwerken und Artefakten verwendet werden, sowie auf Begriffen, die zur Beschreibung von Konservierungsprozessen verwendet werden.","<KI-Generiert> Maßnahmen, Methoden, Zustand","Maßnahmen, Methoden, Zustand",Alle,,englisch,MediaWiki,X,,X,X,"KF: Nicht vollständig, aber für uns sehr hilfreich. Austausch/Verknüpfung mit AIC könnte sinnvoll sein ",AIC Bonnie Naugle (Communications & Membership Director) bnaugle@culturalheritage.org,True,,True,2025-01-31
AIC Wiki,https://www.conservation-wiki.com/wiki/Main_Page,American Institute for Conservation,Fachtext,"<KI-Generiert> Das AIC Wiki ist eine von dem American Institute for Conservation gesponserte Ressource, die von verschiedenen AIC-Fachgruppen, Netzwerken und Ausschüssen erstellt wurde. Es enthält Fachwissen über Materialien und Techniken zur Konservierung und Behandlung von Kunstwerken und historischen Artefakten. Schlagwörter: Maßnahmen, Methoden, Zustand.","<KI-Generiert> Konservierung, Behandlung, Kunstwerke, historische Artefakte, Materialien, Techniken, Kulturerbe","Maßnahmen, Methoden, Zustand",Alle,,englisch,MediaWiki,X,,X,X,"KF: Nicht vollständig, aber für uns sehr hilfreich. Austausch/Verknüpfung mit AIC könnte sinnvoll sein ",AIC Bonnie Naugle (Communications & Membership Director) bnaugle@culturalheritage.org,True,,True,2024-12-16
"Analysis, Protection and Preservation of Medieval Wall Paintings",https://denkmalpflege.niedersachsen.de/themen/restaurierung/raphael-projekt-der-europaeischen-kommission-medieval-wallpaintings-135396.html,Niedersächsisches Landesamt für Denkmalpflege,<KI-Generiert> Fachtext,"<KI-Generiert> Das Raphael-Projekt der Europäischen Kommission (1999-2001) befasste sich mit der Analyse, dem Schutz und der Erhaltung mittelalterlicher Wandmalereien. Es wurden innovative Hilfsmittel, Techniken und Verfahren zur Erfassung von Schadensprozessen an drei ausgewählten Wandmalereiobjekten in Niedersachsen, Dänemark und den Niederlanden eingesetzt.","<KI-Generiert> Wandmalereien, Denkmalpflege, Restaurierung, Schutz, Analyse, Mittelalter, Zustand, Wand und Stein",Zustand,Wand und Stein,<KI-Generiert> Deutschland,"deutsch, englisch",PDF,X,,X,-,"NW: Hilfreich, inkl. Abbildungen. Besonders interessant für Objektgeschichte, Historische Techniken",Abteilungsleitung Baudenkmalpflege Dipl.-Ing. Niels Juister Tel: 05 11 / 9 25 - 52 78 niels.juister@nld.niedersachsen.de  Abteilungsleitung Informationsdienste Dr. Katharina Eck Tel: 05 11 / 9 25 - 53 92 katharina.eck@nld.niedersachsen.de  Abteilungsleitung Restaurierung Dipl.-Rest. Maja Ossig 0511 / 9 25 - 5211 maja.ossig@nld.niedersachsen.de,True,,True,2019-08-09
Archaeological Objects Thesaurus (FISH),https://collectionstrust.org.uk/resource/archaeological-objects-thesaurus-fish/,Collection Trust,Vokabular,"<KI-Generiert> Der Archaeological Objects Thesaurus wurde ursprünglich von MDA (jetzt Collections Trust) entwickelt und vom Forum on Information Standards in Heritage (FISH) weiterentwickelt. Er enthält Begriffe für physische Beweise, meist beweglich, die aus vergangenen menschlichen Aktivitäten resultieren, oder Umweltüberreste, die aus archäologischen Feldarbeiten gewonnen werden können. Schlagwörter: Objekte, Archäologie","<KI-Generiert> Objekte, Archäologie",Objekte,Archäologie,,englisch,SPARQL,X,,X,X,"KF: nur Begriffe, keine Erklärungen. Für Restaurierung eher wenig informativ",terminologies@HistoricEngland.org.uk,True,,True,2015-12-15
Archaeological Science Thesaurus (FISH),https://collectionstrust.org.uk/resource/archaeological-sciences-thesaurus-fish/,Collection Trust,Vokabular,"<KI-Generiert> Der FISH Thesaurus für archäologische Wissenschaften wird für die Erfassung der Techniken, Bergungsmethoden und Materialien im Zusammenhang mit den archäologischen Wissenschaften verwendet. Schlagwörter: Methoden, Maßnahmen, Materialien, Archäologie","<KI-Generiert> Methoden, Maßnahmen, Materialien, Archäologie","Methoden, Maßnahmen, Materialien",Archäologie,,englisch,SPARQL,X,,X,X,"KF: nur Begriffe, keine Erklärungen",terminologies@HistoricEngland.org.uk,True,,True,2015-12-15
Archäologie-Thesauri,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-9,VLA,Vokabular,"<KI-Generiert> Zeitstrahl zu arch. Zeitstufen in verschiedenen Regionen Deutschlands, Handreichung für den Vergleich von Datensätzen aus verschiedenen Landesämtern bzw. Bundesländern, Typ-Begriffsliste für Fundstellentypen (für ADeX-Feld TYP_GROB vorgesehen), Datierungs-Begriffsliste für Fundstellendatierungen (für ADeX-Feld DAT_GROB vorgesehen)","<KI-Generiert> Datierungen, Fundstellentypen, Zeitstrahl","Zeitstrahl zu arch. Zeitstufen in verschiedenen Regionen Deutschlands, Handreichung für den Vergleich von Datensätzen aus verschiedenen Landesämtern bzw. Bundesländern, Typ-Begriffsliste für Fundstellentypen (für ADeX-Feld TYP_GROB vorgesehen), Datierungs-Begriffsliste für Fundstellendatierungen (für ADeX-Feld DAT_GROB vorgesehen)","Datierungen, Fundstellentypen",DE,deutsch,PDF,,,<KI-Generiert> x,,Vorbericht zu Zeitstrahl: https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Thesauri/Vokabular-Datenstrukturen_v1.1.pdf ; Zeitstrahl: https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Thesauri/Zeitstrahl_V01.pdf,AG Thesauri des VLA,,True,True,2025-01-01
